season,MATCH_ID,TEAM,HOME TEAM,BELONGS TO,BATTING,RUN,BALL FACE,FOURS,SIXES,STRIKE RATE,OUT/ NOT_OUT,SEASON
0,1359475,GT v CSK,GT,CSK,Devon Conway,1,6,0,0,16.66, b Mohammed Shami,2023
1,1359475,GT v CSK,GT,CSK,Ruturaj Gaikwad,92,50,4,9,184,c Shubman Gill b Joseph,2023
2,1359475,GT v CSK,GT,CSK,Moeen Ali,23,17,4,1,135.29,c &dagger;Saha b Rashid Khan,2023
3,1359475,GT v CSK,GT,CSK,Ben Stokes,7,6,1,0,116.66,c &dagger;Saha b Rashid Khan,2023
4,1359475,GT v CSK,GT,CSK,Ambati Rayudu,12,12,0,1,100, b Little,2023
5,1359475,GT v CSK,GT,CSK,Shivam Dube,19,18,0,1,105.55,c Rashid Khan b Mohammed Shami,2023
6,1359475,GT v CSK,GT,CSK,Ravindra Jadeja,1,2,0,0,50,c Shankar b Joseph,2023
7,1359475,GT v CSK,GT,CSK,MS Dhoni,14,7,1,1,200,not out,2023
8,1359475,GT v CSK,GT,CSK,Mitchell Santner,1,3,0,0,33.33,not out,2023
9,1359475,GT v CSK,GT,GT,Wriddhiman Saha,25,16,2,2,156.25,c Dube b Hangargekar,2023
10,1359475,GT v CSK,GT,GT,Shubman Gill,63,36,6,3,175,c Gaikwad b Deshpande,2023
11,1359475,GT v CSK,GT,GT,Sai Sudharsan,22,17,3,0,129.41,c &dagger;Dhoni b Hangargekar,2023
12,1359475,GT v CSK,GT,GT,Hardik Pandya,8,11,0,0,72.72, b Jadeja,2023
13,1359475,GT v CSK,GT,GT,Vijay Shankar,27,21,2,1,128.57,c Santner b Hangargekar,2023
14,1359475,GT v CSK,GT,GT,Rahul Tewatia,15,14,1,1,107.14,not out,2023
15,1359475,GT v CSK,GT,GT,Rashid Khan,10,3,1,1,333.33,not out,2023
16,1359476,PBKS v KKR,GT,PBKS,Prabhsimran Singh,23,12,2,2,191.66,c &dagger;Rahmanullah Gurbaz b Southee,2023
17,1359476,PBKS v KKR,GT,PBKS,Shikhar Dhawan,40,29,6,0,137.93, b Varun,2023
18,1359476,PBKS v KKR,GT,PBKS,Bhanuka Rajapaksa,50,32,5,2,156.25,c Singh b Yadav,2023
19,1359476,PBKS v KKR,GT,PBKS,Jitesh Sharma,21,11,1,2,190.9,c Yadav b Southee,2023
20,1359476,PBKS v KKR,GT,PBKS,Sikandar Raza,16,13,1,1,123.07,c Rana b Narine,2023
21,1359476,PBKS v KKR,GT,PBKS,Sam Curran,26,17,0,2,152.94,not out,2023
22,1359476,PBKS v KKR,GT,PBKS,M Shahrukh Khan,11,7,2,0,157.14,not out,2023
23,1359476,PBKS v KKR,GT,KKR,Mandeep Singh,2,4,0,0,50,c Curran b Arshdeep Singh,2023
24,1359476,PBKS v KKR,GT,KKR,Rahmanullah Gurbaz,22,16,3,1,137.5, b Ellis,2023
25,1359476,PBKS v KKR,GT,KKR,Anukul Roy,4,5,1,0,80,c Sikandar Raza b Arshdeep Singh,2023
26,1359476,PBKS v KKR,GT,KKR,Venkatesh Iyer,34,28,3,1,121.42,c Chahar b Arshdeep Singh,2023
27,1359476,PBKS v KKR,GT,KKR,Nitish Rana,24,17,3,1,141.17,c Chahar b Sikandar Raza,2023
28,1359476,PBKS v KKR,GT,KKR,Rinku Singh,4,4,0,0,100,c Sikandar Raza b Chahar,2023
29,1359476,PBKS v KKR,GT,KKR,Andre Russell,35,19,3,2,184.21,c Sikandar Raza b Curran,2023
30,1359476,PBKS v KKR,GT,KKR,Shardul Thakur,8,3,0,1,266.66,not out,2023
31,1359476,PBKS v KKR,GT,KKR,Sunil Narine,7,2,0,1,350,not out,2023
32,1359477,LSG v DC,GT,LSG,KL Rahul,8,12,0,1,66.66,c Patel b Sakariya,2023
33,1359477,LSG v DC,GT,LSG,Kyle Mayers,73,38,2,7,192.1, b Patel,2023
34,1359477,LSG v DC,GT,LSG,Deepak Hooda,17,18,0,0,94.44,c Warner b Kuldeep Yadav,2023
35,1359477,LSG v DC,GT,LSG,Krunal Pandya,15,13,0,1,115.38,not out,2023
36,1359477,LSG v DC,GT,LSG,Marcus Stoinis,12,10,0,1,120,c &dagger;Khan b Ahmed,2023
37,1359477,LSG v DC,GT,LSG,Nicholas Pooran,36,21,2,3,171.42,c Shaw b Ahmed,2023
38,1359477,LSG v DC,GT,LSG,Ayush Badoni,18,7,1,2,257.14,c &dagger;Khan b Sakariya,2023
39,1359477,LSG v DC,GT,LSG,Krishnappa Gowtham,6,1,0,1,600,not out,2023
40,1359477,LSG v DC,GT,DC,Prithvi Shaw,12,9,2,0,133.33, b Wood,2023
41,1359477,LSG v DC,GT,DC,David Warner,56,48,7,0,116.66,c Gowtham b Avesh Khan,2023
42,1359477,LSG v DC,GT,DC,Mitchell Marsh,0,1,0,0,0, b Wood,2023
43,1359477,LSG v DC,GT,DC,Sarfaraz Khan,4,9,1,0,44.44,c Gowtham b Wood,2023
44,1359477,LSG v DC,GT,DC,Rilee Rossouw,30,20,3,1,150,c Mayers b Ravi Bishnoi,2023
45,1359477,LSG v DC,GT,DC,Rovman Powell,1,3,0,0,33.33,lbw b Ravi Bishnoi,2023
46,1359477,LSG v DC,GT,DC,Aman Hakim Khan,4,5,0,0,80,c &dagger;Pooran b Avesh Khan,2023
47,1359477,LSG v DC,GT,DC,Axar Patel,16,11,1,1,145.45,c sub (PN Mankad) b Wood,2023
48,1359477,LSG v DC,GT,DC,Kuldeep Yadav,6,10,0,0,60,not out,2023
